home_team,away_team,1,x,2,winning_index,winning odd,year
Partizani,Laçi,1.4,4,10,1,1.4,2015-2016
Kukësi,Bylis,1.25,5.25,13,1,1.25,2015-2016
Flamurtari,Teuta,2.2,3.3,3.2,1,2.2,2015-2016
Bylis,Tërbuni,1.57,4.2,5.25,1,1.57,2015-2016
Partizani,Flamurtari,1.36,5,8,x,5,2015-2016
Skënderbeu,Kukësi,1.53,4,6.5,1,1.53,2015-2016
Laçi,Tirana,2.7,2.8,3,2,3,2015-2016
Teuta,Vllaznia,1.74,3.3,5.5,1,1.74,2015-2016
Kukësi,Teuta,1.55,3.8,6.5,x,3.8,2015-2016
Tërbuni,Skënderbeu,19,8.5,1.13,2,1.13,2015-2016
Tirana,Bylis,1.36,4.5,8.5,1,1.36,2015-2016
Vllaznia,Partizani,3.6,3.2,2.1,x,3.2,2015-2016
Laçi,Bylis,1.36,4.5,9.5,2,9.5,2015-2016
Flamurtari,Vllaznia,1.7,3.3,6,1,1.7,2015-2016
Skënderbeu,Tirana,1.53,3.9,11,1,1.53,2015-2016
Partizani,Kukësi,1.73,3.25,7.5,1,1.73,2015-2016
Partizani,Tirana,2.9,3,3,1,2.9,2015-2016
Kukësi,Laçi,1.62,3.4,6.5,1,1.62,2015-2016
Tërbuni,Vllaznia,5,3.2,1.85,2,1.85,2015-2016
Tirana,Flamurtari,1.57,3.6,6.5,x,3.6,2015-2016
Bylis,Partizani,3.8,3.1,2.05,2,2.05,2015-2016
Skënderbeu,Teuta,1.3,4.75,14,1,1.3,2015-2016
Flamurtari,Bylis,1.44,4.2,7,x,4.2,2015-2016
Partizani,Skënderbeu,2.55,3,3.2,x,3,2015-2016
Tirana,Tërbuni,1.14,8.5,28,1,1.14,2015-2016
Kukësi,Skënderbeu,2.62,3.2,2.7,1,2.62,2015-2016
Flamurtari,Partizani,4.33,3.25,1.91,x,3.25,2015-2016
Tirana,Laçi,1.95,3,4.75,1,1.95,2015-2016
Partizani,Vllaznia,1.08,9,81,1,1.08,2015-2016
Vllaznia,Flamurtari,2.2,3.1,3.4,1,2.2,2015-2016
Tërbuni,Teuta,18,5.75,1.22,2,1.22,2015-2016
Bylis,Laçi,2.4,3.1,3.13,1,2.4,2015-2016
Kukësi,Partizani,4.2,3.1,1.95,2,1.95,2015-2016
Tërbuni,Flamurtari,5.25,3.75,1.67,2,1.67,2015-2016
Kukësi,Vllaznia,1.55,3.75,6.5,x,3.75,2015-2016
Bylis,Teuta,4.2,3.1,2.05,2,2.05,2015-2016
Skënderbeu,Laçi,1.29,5.75,12,1,1.29,2015-2016
Tirana,Partizani,5.75,3.6,1.73,x,3.6,2015-2016
Partizani,Bylis,1.15,7.5,21,2,21,2015-2016
Skënderbeu,Partizani,1.85,3.4,4.1,2,4.1,2015-2016
Vllaznia,Bylis,2.05,3.4,3.1,1,2.05,2015-2016
Partizani,Teuta,1.33,4.4,8,2,8,2015-2016
Laçi,Tërbuni,1.18,6.25,14,x,6.25,2015-2016
Vllaznia,Kukësi,3.3,3,2.1,2,2.1,2014-2015
Laçi,Partizani,2.2,2.9,3.2,x,2.9,2014-2015
Vllaznia,Tirana,3.6,3.2,2.1,x,3.2,2014-2015
Partizani,Skënderbeu,2.5,3.2,2.88,1,2.5,2014-2015
Kukësi,Partizani,1.85,2.8,3.7,2,3.7,2014-2015
Tirana,Elbasani,1.17,5.75,7,1,1.17,2014-2015
Teuta,Laçi,2,3.4,3,x,3.4,2014-2015
Fier,Skënderbeu,4.5,4.2,1.35,x,4.2,2014-2015
Fier,Kukësi,4.8,3.55,1.69,2,1.69,2014-2015
Partizani,Laçi,2.05,3.13,3.2,1,2.05,2014-2015
Fier,Tirana,3.25,3.3,1.7,2,1.7,2014-2015
Teuta,Flamurtari,2.4,3.2,2.6,1,2.4,2014-2015
Partizani,Tirana,2.65,2.9,2.75,1,2.65,2014-2015
Teuta,Kukësi,8.25,4.1,1.7,2,1.7,2014-2015
Vllaznia,Laçi,3.8,3.3,1.6,1,3.8,2014-2015
Tirana,Skënderbeu,2.4,2.8,2.65,1,2.4,2014-2015
Flamurtari,Teuta,1.3,3.8,7.5,1,1.3,2014-2015
Tirana,Flamurtari,1.55,3.6,6.25,1,1.55,2014-2015
Teuta,Vllaznia,2.3,3,2.95,1,2.3,2014-2015
Kukësi,Elbasani,1.13,6.5,15,1,1.13,2014-2015
Skënderbeu,Laçi,1.22,4.75,12,x,4.75,2014-2015
Elbasani,Teuta,3.85,3.25,1.85,1,3.85,2014-2015
Laçi,Kukësi,4.5,2.88,1.83,1,4.5,2014-2015
Flamurtari,Fier,1.5,3.65,5.75,1,1.5,2014-2015
Vllaznia,Tirana,2.8,2.75,2.55,2,2.55,2014-2015
Partizani,Skënderbeu,2.7,2.75,2.8,x,2.75,2014-2015
Fier,Skënderbeu,4.65,3.9,1.37,2,1.37,2014-2015
Skënderbeu,Kukësi,2.4,3.1,3.2,x,3.1,2014-2015
Laçi,Vllaznia,1.36,3.9,7.5,1,1.36,2014-2015
Partizani,Flamurtari,1.5,3.7,6.25,1,1.5,2014-2015
Skënderbeu,Tirana,2.15,3,3.6,1,2.15,2014-2015
Flamurtari,Laçi,2.85,3,2.45,2,2.45,2014-2015
Laçi,Fier,1.22,5.5,10.5,1,1.22,2014-2015
Kukësi,Flamurtari,1.2,5.75,14,1,1.2,2014-2015
Partizani,Elbasani,1.11,7.5,23,1,1.11,2014-2015
Teuta,Tirana,8.5,4,1.5,x,4,2014-2015
Fier,Tirana,4.75,3.5,1.52,2,1.52,2014-2015
Kukësi,Laçi,1.45,4.2,8,x,4.2,2014-2015
Skënderbeu,Fier,1.2,5.5,11,1,1.2,2014-2015
Partizani,Kukësi,2.2,3.1,3,x,3.1,2014-2015
Kukësi,Skënderbeu,1.93,2.9,3.13,2,3.13,2014-2015
Partizani,Tirana,2.88,2.85,2.45,x,2.85,2014-2015
Teuta,Flamurtari,2.05,3.5,3.45,1,2.05,2013-2014
Vllaznia,Tirana,2.2,3.25,3.15,1,2.2,2013-2014
Kastrioti,Besa,2,3.35,3.9,1,2,2013-2014
Partizani,Bylis,1.87,3.75,4,x,3.75,2013-2014
Lushnja,Laçi,2.9,3.2,2.4,1,2.9,2013-2014
Skënderbeu,Kukësi,2.05,3.7,3.6,2,3.6,2013-2014
Skënderbeu,Lushnja,1.3,5.5,10,1,1.3,2013-2014
Laçi,Besa,1.55,3.2,3.4,1,1.55,2013-2014
Flamurtari,Bylis,1.7,3.1,2.95,x,3.1,2013-2014
Tirana,Kastrioti,2.05,2.85,2.45,1,2.05,2013-2014
Teuta,Kastrioti,1.2,4.5,6.9,2,6.9,2013-2014
Bylis,Partizani,2.3,3,2.3,1,2.3,2013-2014
Flamurtari,Teuta,1.9,3.2,2.8,1,1.9,2013-2014
Bylis,Laçi,2.45,3.2,2.6,1,2.45,2013-2014
Skënderbeu,Tirana,1.25,5.4,10,1,1.25,2013-2014
Teuta,Kukësi,3,3.1,2.6,1,3,2013-2014
Vllaznia,Lushnja,1.77,3.95,3.65,1,1.77,2013-2014
Kastrioti,Flamurtari,2.4,2.8,2.35,x,2.8,2013-2014
Partizani,Besa,1.4,3.5,5,1,1.4,2013-2014
Kukësi,Kastrioti,1.53,3.95,4.95,1,1.53,2013-2014
Tirana,Teuta,2.65,3.55,2.4,x,3.55,2013-2014
Lushnja,Skënderbeu,2.9,3.15,1.85,2,1.85,2013-2014
Skënderbeu,Vllaznia,1.3,3.8,5.95,1,1.3,2013-2014
Bylis,Flamurtari,2.3,3,2.3,x,3,2013-2014
Teuta,Lushnja,1.35,3.6,5.5,1,1.35,2013-2014
Tirana,Partizani,2.4,2.8,2.35,1,2.4,2013-2014
Vllaznia,Teuta,3.3,3.3,2,x,3.3,2013-2014
Laçi,Skënderbeu,2.8,3.3,1.85,x,3.3,2013-2014
Lushnja,Kastrioti,2.5,3.2,2.5,x,3.2,2013-2014
Bylis,Tirana,2.42,3,2.2,2,2.2,2013-2014
Teuta,Skënderbeu,2.75,3.25,2.4,x,3.25,2013-2014
Vllaznia,Partizani,2.4,3.1,2.7,x,3.1,2013-2014
Tirana,Besa,1.44,3.75,6.5,1,1.44,2013-2014
Besa,Lushnja,1.33,4,9,x,4,2013-2014
Kastrioti,Teuta,2.15,3.1,3.1,x,3.1,2013-2014
Laçi,Lushnja,1.18,4.6,9.5,1,1.18,2013-2014
Skënderbeu,Kastrioti,1.22,7.7,8,1,1.22,2013-2014
Kukësi,Vllaznia,1.53,3.8,4.2,x,3.8,2013-2014
Partizani,Bylis,1.35,3.9,4.9,1,1.35,2013-2014
Besa,Flamurtari,1.55,4.25,4.5,1,1.55,2013-2014
Teuta,Tirana,2.05,3.6,3.7,x,3.6,2013-2014
Partizani,Tirana,2.35,3.25,3.25,x,3.25,2013-2014
Flamurtari,Partizani,2.75,3,2.4,x,3,2013-2014
Lushnja,Flamurtari,3.05,3.3,1.35,2,1.35,2013-2014
Laçi,Teuta,2,3.2,2.75,1,2,2013-2014
Skënderbeu,Besa,1.7,3.4,4.75,1,1.7,2013-2014
Vllaznia,Skënderbeu,2.7,3.1,3.35,2,3.35,2012-2013
Tomori,Tirana,4.4,3.75,1.7,2,1.7,2012-2013
Laçi,Besa,1.55,3.45,5.95,x,3.45,2012-2013
Fier,Kastrioti,3.4,3.15,2.05,x,3.15,2012-2013
Kukësi,Luftëtari,1.6,3.5,5.5,x,3.5,2012-2013
Shkumbini,Teuta,4.1,3.1,2.01,2,2.01,2012-2013
Bylis,Flamurtari,2.64,3.15,2.5,x,3.15,2012-2013
Skënderbeu,Fier,1.3,5.6,9,1,1.3,2012-2013
Flamurtari,Laçi,1.45,4.3,9.2,2,9.2,2012-2013
Kukësi,Vllaznia,2.05,3.25,3.8,x,3.25,2012-2013
Kastrioti,Bylis,1.67,3.6,4.6,1,1.67,2012-2013
Tirana,Shkumbini,1.4,4,7.5,1,1.4,2012-2013
Luftëtari,Teuta,2.7,3.15,2.5,1,2.7,2012-2013
Besa,Tomori,1.67,3.65,4.35,1,1.67,2012-2013
Teuta,Tirana,2.2,3.05,3.2,x,3.05,2012-2013
Fier,Kukësi,3.2,3.05,2.2,x,3.05,2012-2013
Bylis,Skënderbeu,3.6,3.2,2,x,3.2,2012-2013
Shkumbini,Besa,1.7,3.5,4.5,1,1.7,2012-2013
Tomori,Flamurtari,4,3.5,1.85,2,1.85,2012-2013
Vllaznia,Luftëtari,1.44,3.9,7,1,1.44,2012-2013
Laçi,Kastrioti,1.6,3.9,7.25,1,1.6,2012-2013
Besa,Teuta,2.68,3.25,2.36,1,2.68,2012-2013
Luftëtari,Tirana,2.98,3.25,2.26,2,2.26,2012-2013
Flamurtari,Shkumbini,1.45,4,6.65,x,4,2012-2013
Kukësi,Bylis,2.12,3.3,3.25,1,2.12,2012-2013
Kastrioti,Tomori,1.4,4.05,6.9,1,1.4,2012-2013
Vllaznia,Fier,1.45,4.05,6.75,x,4.05,2012-2013
Skënderbeu,Laçi,1.31,4.75,10,1,1.31,2012-2013
Bylis,Vllaznia,1.85,3.3,3.9,2,3.9,2012-2013
Fier,Luftëtari,2.25,3.1,3,2,3,2012-2013
Tirana,Besa,1.55,3.6,5.85,x,3.6,2012-2013
Laçi,Kukësi,1.67,3.4,4.75,x,3.4,2012-2013
Shkumbini,Kastrioti,2.32,2.94,3,x,2.94,2012-2013
Tomori,Skënderbeu,6.5,3.8,1.55,x,3.8,2012-2013
Teuta,Flamurtari,2.21,2.95,3.4,1,2.21,2012-2013
Fier,Bylis,2.35,3.2,2.75,2,2.75,2012-2013
Kukësi,Tomori,1.62,3.6,4.75,1,1.62,2012-2013
Skënderbeu,Shkumbini,1.25,5.25,11,1,1.25,2012-2013
Flamurtari,Tirana,2.21,3.2,3.4,x,3.2,2012-2013
Vllaznia,Laçi,1.62,3.5,5.25,1,1.62,2012-2013
Kastrioti,Teuta,2,3.2,3.8,2,3.8,2012-2013
Luftëtari,Besa,1.5,3.7,6.2,2,6.2,2012-2013
Bylis,Luftëtari,1.52,3.7,5.75,1,1.52,2012-2013
Shkumbini,Kukësi,2.2,3.25,3,x,3.25,2012-2013
Besa,Flamurtari,2.2,3,3,1,2.2,2012-2013
Tirana,Kastrioti,1.72,3.35,4.5,x,3.35,2012-2013
Tomori,Vllaznia,2.76,3.3,2.25,x,3.3,2012-2013
Laçi,Fier,1.37,4.2,9.75,1,1.37,2012-2013
Teuta,Skënderbeu,2.5,3,2.85,2,2.85,2012-2013
Fier,Tomori,2.25,3.25,3,x,3.25,2012-2013
Luftëtari,Flamurtari,2.15,3.2,3.7,2,3.7,2012-2013
Skënderbeu,Tirana,1.82,3.25,4.33,1,1.82,2012-2013
Kastrioti,Besa,1.62,3.5,5.7,1,1.62,2012-2013
Bylis,Laçi,1.72,3.6,4.4,1,1.72,2012-2013
Kukësi,Teuta,1.85,3.25,3.9,x,3.25,2012-2013
Vllaznia,Shkumbini,1.55,3.6,5.5,1,1.55,2012-2013
Shkumbini,Fier,1.57,3.6,5.25,x,3.6,2012-2013
Laçi,Luftëtari,1.57,3.6,5.25,1,1.57,2012-2013
Flamurtari,Kastrioti,1.5,3.8,5.65,1,1.5,2012-2013
Besa,Skënderbeu,2.6,3.1,2.42,x,3.1,2012-2013
Tirana,Kukësi,1.7,3.5,4.6,2,4.6,2012-2013
Tomori,Bylis,2.2,3.4,2.85,x,3.4,2012-2013
Teuta,Vllaznia,1.85,3.25,3.8,1,1.85,2012-2013
Luftëtari,Kastrioti,2.06,3.4,3.7,1,2.06,2012-2013
Bylis,Shkumbini,1.3,4.5,9,1,1.3,2012-2013
Fier,Teuta,2.7,3.1,2.5,2,2.5,2012-2013
Vllaznia,Tirana,1.9,3.2,4.4,2,4.4,2012-2013
Laçi,Tomori,1.22,5,13,1,1.22,2012-2013
Kukësi,Besa,1.8,3.3,4.1,1,1.8,2012-2013
Tomori,Luftëtari,4,3.2,2.78,x,3.2,2012-2013
Flamurtari,Kukësi,1.9,3.3,4.2,1,1.9,2012-2013
Teuta,Bylis,1.85,3.35,4.3,1,1.85,2012-2013
Besa,Vllaznia,1.95,3.1,3.5,x,3.1,2012-2013
Tirana,Fier,1.23,5.5,9.5,1,1.23,2012-2013
Shkumbini,Laçi,1.96,3.25,3.8,x,3.25,2012-2013
Kastrioti,Skënderbeu,5.75,3.45,1.6,2,1.6,2012-2013
Skënderbeu,Flamurtari,1.45,3.9,7.5,1,1.45,2012-2013
Tomori,Shkumbini,1.85,3.25,3.95,x,3.25,2012-2013
Bylis,Tirana,1.85,3.25,4,1,1.85,2012-2013
Kukësi,Kastrioti,1.46,3.6,7.75,1,1.46,2012-2013
Vllaznia,Flamurtari,2.25,3.2,3,x,3.2,2012-2013
Laçi,Teuta,2.05,3.3,3.55,1,2.05,2012-2013
Fier,Besa,4.1,3.25,1.91,1,4.1,2012-2013
Luftëtari,Skënderbeu,5,3.65,1.56,2,1.56,2012-2013
Shkumbini,Luftëtari,1.75,3.25,5,1,1.75,2012-2013
Kastrioti,Vllaznia,2.5,3.15,2.9,1,2.5,2012-2013
Teuta,Tomori,1.24,4.75,12,1,1.24,2012-2013
Skënderbeu,Kukësi,1.45,3.9,7.5,1,1.45,2012-2013
Besa,Bylis,2.3,3.3,3.15,2,3.15,2012-2013
Tirana,Laçi,1.6,3.5,5.75,1,1.6,2012-2013
Flamurtari,Fier,1.25,6.15,10,1,1.25,2012-2013
Skënderbeu,Vllaznia,1.6,5.2,6.8,2,6.8,2012-2013
Besa,Laçi,2,3.3,3.25,2,3.25,2012-2013
Teuta,Shkumbini,1.3,4,5.5,1,1.3,2012-2013
Tirana,Tomori,1.12,5.8,7.35,1,1.12,2012-2013
Luftëtari,Kukësi,2.8,3.05,1.95,2,1.95,2012-2013
Flamurtari,Bylis,1.75,3.5,4.15,1,1.75,2012-2013
Tomori,Besa,2.55,3.2,2.4,1,2.55,2012-2013
Teuta,Luftëtari,1.17,6.3,11,1,1.17,2012-2013
Vllaznia,Kukësi,2.25,3.25,2.8,1,2.25,2012-2013
Besa,Shkumbini,2.05,3,3.4,x,3,2012-2013
Skënderbeu,Bylis,1.25,5,9,x,5,2012-2013
Kukësi,Shkumbini,1.42,3.6,7.75,1,1.42,2012-2013
Fier,Laçi,3.5,2.95,2.05,x,2.95,2012-2013
Luftëtari,Bylis,1.9,3.2,3.7,x,3.2,2012-2013
Flamurtari,Besa,1.4,4,6.75,x,4,2012-2013
Skënderbeu,Teuta,1.44,3.9,6.25,x,3.9,2012-2013
Laçi,Bylis,1.83,3.2,4,1,1.83,2012-2013
Tomori,Fier,1.67,3.4,4.6,1,1.67,2012-2013
Shkumbini,Vllaznia,3.5,2.95,2.05,1,3.5,2012-2013
Flamurtari,Luftëtari,1.4,3.75,7.5,1,1.4,2012-2013
Tirana,Skënderbeu,2.95,2.95,2.3,1,2.95,2012-2013
Teuta,Kukësi,1.75,3.25,4.33,x,3.25,2012-2013
Bylis,Tomori,1.11,5.2,9.5,1,1.11,2012-2013
Luftëtari,Laçi,4,3.5,1.3,2,1.3,2012-2013
Skënderbeu,Kastrioti,1.38,4,4.25,1,1.38,2012-2013
Teuta,Laçi,1.28,4,5.8,1,1.28,2012-2013
Tomori,Teuta,2.68,3.4,1.68,1,2.68,2012-2013
