home_team,away_team,1,x,2,winning_index,winning odd,year
Kastrioti,Partizani,14.5,5.6,1.29,2,1.29,2018-2019
Flamurtari,Luftëtari,1.67,3.6,6.5,x,3.6,2018-2019
Kastrioti,Kamza,2.74,2.88,2.7,1,2.74,2018-2019
Kukësi,Teuta,2.16,3.05,3.52,x,3.05,2018-2019
Flamurtari,Partizani,4.5,2.9,2,1,4.5,2018-2019
Teuta,Luftëtari,1.78,3.2,4.43,1,1.78,2018-2019
Partizani,Tirana,1.41,3.8,9.5,1,1.41,2018-2019
Laçi,Kamza,1.39,3.85,8.5,x,3.85,2018-2019
Kastrioti,Flamurtari,5,3.55,1.69,1,5,2018-2019
Kukësi,Skënderbeu,2.3,2.97,3.35,1,2.3,2018-2019
Tirana,Kastrioti,1.81,3.63,3.65,1,1.81,2018-2019
Teuta,Partizani,2.62,3.3,2.79,x,3.3,2018-2019
Kamza,Luftëtari,2.08,3,3.55,1,2.08,2018-2019
Flamurtari,Laçi,2,2.95,3.85,1,2,2018-2019
Partizani,Kukësi,2.16,2.75,4,x,2.75,2018-2019
Laçi,Tirana,2.12,3.05,4.53,1,2.12,2018-2019
Flamurtari,Kamza,1.53,3.47,7.7,1,1.53,2018-2019
Kastrioti,Teuta,6.6,3.46,1.56,2,1.56,2018-2019
Skënderbeu,Luftëtari,1.46,3.63,7.2,2,7.2,2018-2019
Kamza,Skënderbeu,4.13,2.97,2.06,1,4.13,2018-2019
Tirana,Flamurtari,3,2.95,2.98,1,3,2018-2019
Teuta,Laçi,1.86,2.77,5.15,x,2.77,2018-2019
Kukësi,Kastrioti,1.12,7.13,17,1,1.12,2018-2019
Luftëtari,Partizani,6.5,3.4,1.56,x,3.4,2018-2019
Skënderbeu,Partizani,2.75,2.75,2.7,2,2.7,2018-2019
Kukësi,Laçi,1.95,2.84,4.18,x,2.84,2018-2019
Luftëtari,Kastrioti,1.99,3.05,4.2,2,4.2,2018-2019
Tirana,Kamza,1.92,3.02,4.72,1,1.92,2018-2019
Teuta,Flamurtari,1.65,3.3,7,x,3.3,2018-2019
Tirana,Teuta,2.76,3.1,2.68,x,3.1,2018-2019
Flamurtari,Kukësi,2.29,3.03,3,2,3,2018-2019
Kamza,Partizani,8.15,3.53,1.61,2,1.61,2018-2019
Laçi,Luftëtari,1.55,3.27,6.5,2,6.5,2018-2019
Luftëtari,Flamurtari,2.75,2.75,2.6,x,2.75,2018-2019
Kukësi,Tirana,1.7,3.1,5.35,2,5.35,2018-2019
Teuta,Kamza,1.44,3.53,8.15,x,3.53,2018-2019
Skënderbeu,Laçi,2.14,2.88,3.52,1,2.14,2018-2019
Teuta,Kukësi,2.59,2.91,2.82,1,2.59,2018-2019
Laçi,Partizani,3,2.88,2.4,1,3,2018-2019
Kamza,Kastrioti,2.05,3.43,3.1,2,3.1,2018-2019
Tirana,Luftëtari,1.78,3.12,4.6,x,3.12,2018-2019
Flamurtari,Skënderbeu,2.5,2.89,3.25,1,2.5,2018-2019
Skënderbeu,Tirana,2.12,3.05,4,2,4,2018-2019
Partizani,Flamurtari,1.57,3.4,5.9,1,1.57,2018-2019
Kastrioti,Laçi,2.49,3.23,2.58,x,3.23,2018-2019
Kukësi,Kamza,1.59,3.5,5.4,1,1.59,2018-2019
Tirana,Partizani,3.43,2.87,2.29,x,2.87,2018-2019
Kukësi,Luftëtari,1.75,3.18,5.1,1,1.75,2018-2019
Kamza,Laçi,2.93,2.55,2.75,x,2.55,2018-2019
Flamurtari,Kastrioti,2.26,2.88,3.5,x,2.88,2018-2019
Kastrioti,Tirana,2.42,2.95,2.76,1,2.42,2018-2019
Laçi,Flamurtari,1.95,2.93,4.11,x,2.93,2018-2019
Partizani,Teuta,2.14,3.18,3.72,1,2.14,2018-2019
Kukësi,Partizani,1.95,2.98,5,x,2.98,2018-2019
Partizani,Luftëtari,1.36,4,9.5,2,9.5,2018-2019
Laçi,Kukësi,2.8,2.65,3.17,2,3.17,2018-2019
Kastrioti,Luftëtari,2.35,3.57,6.25,1,2.35,2018-2019
Flamurtari,Teuta,2.7,2.9,2.98,1,2.7,2018-2019
Partizani,Skënderbeu,1.7,3.1,5.25,1,1.7,2018-2019
